"bank","address","label","original_string","translated_string","notes","notes2","","","","","","","","","","","","","","","","","","",""
"08","4651","","// init NAME_SNOWY, $08
汪汪~汪~","// init NAME_SNOWY, $08
Woof! Woof!","translated dog's barking","","","","","","","","","","","","","","","","","","","",""
"08","465e","","// init NAME_BALLOT, PIC_BALLOT_0
小白~
乖~乖~
肚子餓了嗎?
我們一起去天文
台，
找爸爸回來吃晚
餐好嗎?","// init NAME_BALLOT, PIC_BALLOT_0
Aww, Snowy, are you hungry?

Let's go to the observatory together and call Dad for dinner, okay?","machine translation assisted","","","","","","","","","","","","","","","","","","","",""
"08","46a4","","// init NAME_SNOWY, $08
汪~汪汪~","// init NAME_SNOWY, $08
Woof! Woof!","","","","","","","","","","","","","","","","","","","","",""
"08","46b1","","// init NAME_BLANK, $1b
賽亞?
我剛剛才和他聊
過天而已。
不過他一看到月
亮之後，
就緊張兮兮往天
文台跑去了。","// init NAME_BLANK, $1b
Hmm, your dad? I just had a chat with him.

But as soon as he saw the moon today, he immediately ran towards the observatory.

I wonder what's up with him?","machine translation assisted, original mentions the dad by name","","","","","","","","","","","","","","","","","","","",""
"08","46fe","","// init NAME_BLANK, $13
⋯啊?
要找你爸爸回家
吃晚餐啊。
真是孝順的小孩
。
媽媽病逝後，
要更堅強喲!
啊啊啊!!
又提到這件事~
真是對不起。","// init NAME_BLANK, $13
...Huh?
Is that for your dad?
How nice of you! Your mom would be proud!
Ah, so sorry for mentioning her!","
孝順 carries connotations of filial piety but i'm not sure if that translates well in a western context

媽媽病逝後，
要更堅強喲! means more along the lines of ""you must stay strong after (your) mum's death (by disease)!"" oddly positive for the subject matter tbh
","","","","","","","","","","","","","","","","","","","",""
"08","4768","","// init NAME_BLANK, $20
是你啊!
哈哈哈~
昨天考試，你又
考輸我了!
嘻嘻~
每‧次‧都‧輸
‧我!","// init NAME_BLANK, $20
Haha! Looks like you lost to me in the exam!

I win again!
I always do!"," 每‧次‧都‧輸
‧我! carries a sort of mocking tone in that the words are spaced apart","","","","","","","","","","","","","","","","","","","",""
"08","47af","","// init NAME_BLANK, $1d
老師要教人家做
小餅乾。
這次要吃光光峨
。
人家這次不會再
做那種奇怪的餅
乾了啦!","// init NAME_BLANK, $1d
The teacher wants to teach people how to make cookies.

I want to eat all of them. I won't make those weird cookies again this time!","machine translation assisted
tn: need more context","","","","","","","","","","","","","","","","","","","",""
"08","47fb","","// init NAME_BLANK, $16
唉呀~
最近的月亮怎麼
看起來，
有點藍藍的呢?
一定是我眼睛又
花了。","// init NAME_BLANK, $16
The moon seems to have a blue tint today...
Must be my imagination.
","""我眼睛又花"" means ""i must be short-sighted again"" but seems long winded","","","","","","","","","","","","","","","","","","","",""
"08","4837","","// init NAME_BLANK, $19
新聞報導說，
明天晚上會有大
規模的流星雨。
記得我年輕的時
候，
也曾預測過一次
。
但那次的預測錯
誤。
告訴你峨!
婆婆年輕的時候
~
是村子裡有名的
⋯⋯
大‧美‧女‧峨
!","// init NAME_BLANK, $19
The news has reported that there will be a massive meteor shower tomorrow night.

I remember once when I was young, they forecast the same thing. But that time, the prediction was wrong.

I'm telling you! When my grandmother was young, she was a famous beauty in the village!
","again, spaced out words for emphasis, also idk how grandmother got machine translated as mother in law","","","","","","","","","","","","","","","","","","","",""
"08","48d0","","// init NAME_BLANK, $22
啊!?
隼人說突然想打
網球嗎?
沒~有問題!
爸爸馬上去買一
個網球場!","// init NAME_BLANK, $22
What? Hayato said he suddenly wanted to play tennis?
No problem!
I'm going to buy a tennis court!","said by the dad, presumably, but it doesn't make as much sense in english","","","","","","","","","","","","","","","","","","","",""
"08","4911","","// init NAME_12, $26
OH~
BABY~
我今天到朋友家
，
看到了很多的發
明品喲!
他可是個天才的
機械科學家。
比你爸爸還厲害
的科學家喲!","// init NAME_12, $26
Oh, baby~

I went to my friend's house today. I saw many inventions there!

He's such a genius roboticist, looks like your dad can learn a thing or two from him~","","","","","","","","","","","","","","","","","","","","",""
"08","497a","","// init NAME_BLANK, $1f
啊啊!!!
怎麼把狗帶到別
人家裡來。
我才剛換了新地
毯，
這下又弄髒了!
真是沒教養的小
孩。","// init NAME_BLANK, $1f
Ahhh!!!
How could you bring a dog into someone's house?!
I just cleaned my carpet, and now it's dirty again! You uneducated child!
","換了新地毯 means ""changed to a new carpet"" but is usually also said to denote having switched it out (for a carpet in the wash)","","","","","","","","","","","","","","","","","","","",""
"08","49cc","","// init NAME_SNOWY, $08
嗚~~汪汪汪!","// init NAME_SNOWY, $08
Awoo~ Woof! Woof!","","","","","","","","","","","","","","","","","","","","",""
"08","49db","","// init NAME_BLANK, $15
你是來找芳芳的
嗎?
芳~芳~!
妳的朋友來找你
唷~
都這麼晚了，
留下來一起吃晚
餐好嗎?","// init NAME_BLANK, $15
Did you come to find Fangfang?
Oh, Fangfang!
Your friend came to visit~
Since it's so late, why not stay for dinner?","","","","","","","","","","","","","","","","","","","","",""
"08","4a2e","","// init NAME_BLANK, $18
賽亞是一個很棒
的天文科學家。
在我們天文科學
界，
他算是個天才吧
!
只是脾氣古怪了
一點⋯⋯","// init NAME_BLANK, $18
Saya is a great astronomer.
He's known as a prodigy in our little community! He's just a bit eccentric...
","","","","","","","","","","","","","","","","","","","","",""
"08","4a87","","// init NAME_13, $1a
你是來找我一起
玩的嗎?
好~高~興~","// init NAME_13, $1a
Are you here to play with me? I'm so glad!
","~ used to indicate pseudo-singing tone","","","","","","","","","","","","","","","","","","","",""
"08","4aac","","// init NAME_BLANK, $15
明天晚上會有大
規模的流星雨。
這種難見的奇景
，
我一定不能錯過
!
對了~
明天晚上，
我們去你爸的天
文台看流星雨。","// init NAME_BLANK, $15
There will be a massive meteor shower tomorrow night. I can't miss this rare spectacle!

By the way, tomorrow night, we will go to your father's observatory to watch the meteor shower.
","","","","","","","","","","","","","","","","","","","","",""
"08","4b14","","// init NAME_14, $25
受傷了嗎?
如果受傷的話，
只要進去這個α
射線放射器裡，
一下下~
就會復原喲!
要是受傷了，
就來找妮可吧!","// init NAME_14, $25
Are you hurt?

If you're hurt, just go inside this alpha ray emitter and you'll recover in a second! If you are injured, come to Nicole!","","","","","","","","","","","","","","","","","","","","",""
"08","4b77","","// init NAME_BALLOT, PIC_BALLOT_0
學校的門關起來
了!","// init NAME_BALLOT, PIC_BALLOT_0
The school's door is closed...","","","","","","","","","","","","","","","","","","","","",""
"08","4b8b","","// init NAME_BALLOT, PIC_BALLOT_0
爸~
回家吃飯了!","// init NAME_BALLOT, PIC_BALLOT_0
Dad! Dinner is ready! ","Lit. ""Come home to eat!""","","","","","","","","","","","","","","","","","","","",""
"08","4b9f","","// init NAME_BALLOT, PIC_BALLOT_0
爸~
吃飯了。","// init NAME_BALLOT, PIC_BALLOT_0
Dad, time for dinner!","","","","","","","","","","","","","","","","","","","","",""
"08","4baf","","// init NAME_BALLOT, $2c
爸~!!!","// init NAME_BALLOT, PIC_BALLOT_0
Daaaaaaad!","","","","","","","","","","","","","","","","","","","","",""
"08","4bbb","","// init NAME_11, $11
是巴洛特呀!
⋯⋯⋯⋯⋯","// init NAME_11, $11
It's Ballot!
...","","","","","","","","","","","","","","","","","","","","",""
"08","4bd2","","// init NAME_BALLOT, PIC_BALLOT_0
爸⋯⋯⋯","// init NAME_BALLOT, PIC_BALLOT_0
Dad...","","","","","","","","","","","","","","","","","","","","",""
"08","4bdc","","// init NAME_11, $11
喧~
不要說話~
過來~","// init NAME_11, $11
Hush, don't talk. Come here.","~ indicating whispering","","","","","","","","","","","","","","","","","","","",""
"08","4bf3","","// init NAME_11, $11
自從你媽媽病逝
後，
就沒有像這樣仔
細的看過你了。","// init NAME_11, $11
I haven't seen you this closely since Mom got sick.","","","","","","","","","","","","","","","","","","","","",""
"08","4c1d","","// init NAME_BALLOT, PIC_BALLOT_0
爸爸⋯
你怎麼了?","// init NAME_BALLOT, PIC_BALLOT_0
Dad... What's wrong with you?","","","","","","","","","","","","","","","","","","","","",""
"08","4c2e","","// init NAME_11, $11
不要多話。
看看今夜的星空
。","// init NAME_11, $11
Don't talk too much. Look at tonight's starry sky.","","","","","","","","","","","","","","","","","","","","",""
"08","4c4c","","// init NAME_BALLOT, PIC_BALLOT_0
爸~
月光的顏色，
不是暖澄澄的黃
色嗎?
今晚的月光，
藍的有點可怕⋯","// init NAME_BALLOT, PIC_BALLOT_0
Dad, isn't the moon supposed to be pale and yellow?

Why is it looking a little blue tonight? It's a bit scary...","","","","","","","","","","","","","","","","","","","","",""
"08","4c8c","","// init NAME_11, $11
⋯⋯⋯
終於來了嗎?
時機似乎太早了
一點⋯⋯","// init NAME_11, $11
...It's finally here?

It's a little too early compared to my calculations.","","","","","","","","","","","","","","","","","","","","",""
"08","4cb5","","// init NAME_BALLOT, PIC_BALLOT_0
爸⋯","// init NAME_BALLOT, PIC_BALLOT_0
Dad...","","","","","","","","","","","","","","","","","","","","",""
"08","4cbd","","// init NAME_11, $11
⋯⋯⋯⋯","// init NAME_11, $11
...","","","","","","","","","","","","","","","","","","","","",""
"08","4cc6","","// init NAME_BALLOT, $2d
槽了!
再不趕快出發到
學校的話，
一定會遲到的。","// init NAME_BALLOT, $2d
Oh no! If I don't hurry to school, I'll definitely be late. ","","","","","","","","","","","","","","","","","","","","",""
"08","4cf4","","// init NAME_11, $11
起床了嗎?
該上學了。","// init NAME_11, $11
Are you awake? It's time to go to school. ","","","","","","","","","","","","","","","","","","","","",""
"08","4d0b","","// init NAME_11, $11
等等~巴洛特!","// init NAME_11, $11
Ballot! Wait!","","","","","","","","","","","","","","","","","","","","",""
"08","4d1a","","// init NAME_BALLOT, PIC_BALLOT_0
⋯?
爸，有事嗎?","// init NAME_BALLOT, PIC_BALLOT_0
...?
Dad, what's the matter?","","","","","","","","","","","","","","","","","","","","",""
"08","4d2d","","// init NAME_11, $11
先吃完早餐吧。","// init NAME_11, $11
Let's finish breakfast first. ","","","","","","","","","","","","","","","","","","","","",""
"08","4d3e","","// init NAME_BALLOT, PIC_BALLOT_0
不了。
上學快要遲到了
。","// init NAME_BALLOT, PIC_BALLOT_0
I can't, dad. I'm already late!","","","","","","","","","","","","","","","","","","","","",""
"08","4d56","","// init NAME_11, $11
⋯⋯
巴洛特~
關於那個⋯⋯","// init NAME_11, $11
Ballot, about that...","","","","","","","","","","","","","","","","","","","","",""
"08","4d70","","// init NAME_BALLOT, PIC_BALLOT_0
嗯?","// init NAME_BALLOT, PIC_BALLOT_0
Huh?","","","","","","","","","","","","","","","","","","","","",""
"08","4d77","","// init NAME_11, $11
⋯⋯沒什麼。
上學去吧。","// init NAME_11, $11
...Nevermind. Hurry along now.","","","","","","","","","","","","","","","","","","","","",""
"08","4d8f","","// init NAME_BALLOT, $2c
又是這樣!
自從媽媽過逝後
，
爸爸就總是不能
老實的，
說出想說的話!
巴洛特已經
12歲了!
不是小孩子了!
爸⋯爸爸⋯⋯
大举蛋!!!","// init NAME_BALLOT, $2c
Dad, ever since Mom left you never seem to be honest with me!

I'm not a kid anymore Dad, I'm 12!","","","","","","","","","","","","","","","","","","","","",""
"08","4e04","","// init NAME_11, $11
⋯⋯
上學去吧。","// init NAME_11, $11
...Go.","","","","","","","","","","","","","","","","","","","","",""
"08","4e15","","// init NAME_SNOWY, $08
汪汪~汪汪!","// init NAME_SNOWY, $08
Woof! Woof!","","","","","","","","","","","","","","","","","","","","",""
"08","4e23","","// init NAME_BLANK, $1b
新聞報導說，
今天晚上會有大
規模的流星雨。
真是期待呢!","// init NAME_BLANK, $1b
The news is reporting that there will be a massive meteor shower tonight. I really look forward to it!","","","","","","","","","","","","","","","","","","","","",""
"08","4e55","","// init NAME_BLANK, $13
不曉得為什麼，
只要一提到流星
雨的事，
賽亞就會露出不
安的臉色⋯
巴洛特呀，
你知道為什麼嗎
?","// init NAME_BLANK, $13
Every time the meteor shower is mentioned, Saya looks troubled...

Ballot, do you know why?","","","","","","","","","","","","","","","","","","","","",""
"08","4eb0","","// init NAME_BLANK, $22
是巴洛特呀!
隼人去上學了。","// init NAME_BLANK, $22
Hi, Ballot! Hayato's gone to school.","","","","","","","","","","","","","","","","","","","","",""
"08","4ecc","","// init NAME_BLANK, $1f
真是可惡~
才剛換了新地毯
，
這下又弄髒了!","// init NAME_BLANK, $1f
You...
I just re-washed my carpet, and you've dirtied it AGAIN!","","","","","","","","","","","","","","","","","","","","",""
"08","4ef4","","// init NAME_BLANK, $15
你是來找芳芳的
嗎?
芳芳上學去了唷
~","// init NAME_BLANK, $15
Are you here to see Fangfang? She went to school~","","","","","","","","","","","","","","","","","","","","",""
"08","4f1a","","// init NAME_BLANK, $15
今天晚上會有大
規模的流星雨。
這種難見的奇景
，
我一定不能錯過
!
對了~
今天晚上，
我們去你爸的天
文台看流星雨。","// init NAME_BLANK, $15
There will be a massive meteor shower tomorrow night. I can't miss this rare spectacle!

By the way, tomorrow night, we will go to your father's observatory to watch the meteor shower.
","similar to 08:4aac","","","","","","","","","","","","","","","","","","","",""
"08","4f82","","// init NAME_BALLOT, PIC_BALLOT_0
上學快要遲到了
，
不是到處溜噠的
時間。","// init NAME_BALLOT, PIC_BALLOT_0
I'm almost late for school! It's not the time to go wandering off.","","","","","","","","","","","","","","","","","","","","",""
"08","4fa8","","// init NAME_15, $24
早啊~巴洛特。
快點進教窒，
就要上課了。
⋯⋯啊?!
巴洛特真是健忘
。
教窒就是上面的
那間啊!","// init NAME_15, $24
Good morning, Ballot.

Hurry up, class is about to start!

Huh? Don't you remember that your class is further down the hallway?","note: 上面 literally means one above but in context it probably means ""next class over""","","","","","","","","","","","","","","","","","","","",""
"08","5001","","// init NAME_16, $16
巴洛特，早安。
怎麼一大早，
就露出這種心情
不好的表情呢?","// init NAME_16, $16
Ballot, good morning.
Why do you look glum when it's so early in the morning?","","","","","","","","","","","","","","","","","","","","",""
"08","5039","","// init NAME_BLANK, $1e
今天要上的是植
物課。
所以我帶了白老
鼠~吉吉來唷!","// init NAME_BLANK, $1e
Today I'm going to take Horticulture 1.
So I brought my pet mouse! Meet Jiji!","","","","","","","","","","","","","","","","","","","","",""
"08","506b","","// init NAME_BLANK, $21
人家今天的便當
，
很好~很好吃峨
。
才‧不‧給‧你
‧吃!","// init NAME_BLANK, $21
My packed lunch today is delicious.
You can't have it!","""you can't have it"" is in a taunting, one word at a time, tone","","","","","","","","","","","","","","","","","","","",""
"08","50a3","","// init NAME_12, $26
OH~
BABY~
巴洛特~
你來的正好!
介紹我的新朋友
~
高貴隼人1號。","// init NAME_12, $26
Oh baby~
Hey Ballot, you came at a great time!
Say hello to my new friend, Takayasu Hayato Model 001~","Takayasu Hayato #1 is presumably the robot","","","","","","","","","","","","","","","","","","","",""
"08","50e8","","// init NAME_BALLOT, $2c
很好~了不起!
我要上課了。","// init NAME_BALLOT, $2c
Yeah okay, that's cool and all but I gotta get going now!
","/s","","","","","","","","","","","","","","","","","","","",""
"08","5105","","// init NAME_12, $26
OH~NO~
巴洛特不要說出
，
這種酸萄葡的話
。
這可是我的一個
天才機械發明家
朋友，
借給我的機器人
。
他可是非常的有
名唷。
想知道他是誰嗎
?","// init NAME_12, $26
Oh no~
Ballot, don't be such a sour grape.
This is a robot that a genius roboticist friend of mine lent me.
He's very famous. Wanna know who he is?","","","","","","","","","","","","","","","","","","","","",""
"08","5188","","// init NAME_BALLOT, $2c
沒有興趣。","// init NAME_BALLOT, $2c
Uhh, I'm not really interested.","","","","","","","","","","","","","","","","","","","","",""
"08","5195","","// init NAME_12, $26
OH~
BABY~
難得巴洛特這麼
有興趣，
隼人真是感動。
放學後，
隼人就帶你去找
他。","// init NAME_12, $26
Oh baby~
It's rare for you to show this much interest, and Hayato is really moved.
After school, Hayato will take you to find him. ","yes, he refers to himself in third person, (but i changed the ballot name to ""you"" to flow better)","","","","","","","","","","","","","","","","","","","",""
"08","51e5","","// init NAME_13, $1a
巴洛特!
莫老師來了。
快回位置坐好。
你的位置有點變
動唷!
就在最右上方的
座位。","// init NAME_13, $1a
Ballot! Mr. Mo is here.
Go back to your seat. Your seating position changed! You're now in the top right seat.","","","","","","","","","","","","","","","","","","","","",""
"08","522e","","// init NAME_15, $24
巴洛特!
老師都已經來了
，
你要上哪兒去呢
?
快回去坐好!","// init NAME_15, $24
Ballot!
Where do you think you're going? Hurry up and sit down!","","","","","","","","","","","","","","","","","","","","",""
"08","5267","","// init NAME_13, $1a
快回位置坐好。
你的位置就在最
右上方的座位。","// init NAME_13, $1a
Quickly return to your seat. You're sitting at the upper right.","","","","","","","","","","","","","","","","","","","","",""
"08","5291","","// init NAME_12, $26
OH~
BABY~
上課了，
像我這樣的好學
生，
一定會專心聽課
的。","// init NAME_12, $26
Oh baby~
It's time for class and a good student like me will definitely pay attention to the lesson.","","","","","","","","","","","","","","","","","","","","",""
"08","52d0","","// init NAME_BLANK, $1e
上⋯上⋯
上課⋯課了。
巴‧巴巴洛特⋯
快去⋯坐⋯
坐⋯坐好。","// init NAME_BLANK, $1e
It's time for... class... class.
Ba-ba-ba-llot... go... sit... sit... down.","wow this is a pretty good machine translation, literally and figuratively","","","","","","","","","","","","","","","","","","","",""
"08","5306","","// init NAME_15, $24
大家都知道吧?
晚上會有一場很
壯觀的流星雨。
大家一定也很期
待吧!","// init NAME_15, $24
Good morning, class!
There will be a spectacular meteor shower tonight. You all know that, right?
I'm sure you're all looking forward to it!","added greeting","","","","","","","","","","","","","","","","","","","",""
"08","5346","","// init NAME_12, $26
OH~
BABY~
爸爸還特地買了
，
超超豪華天文望
遠鏡給隼人呢。","// init NAME_12, $26
Oh baby~
Dad bought a super deluxe telescope for Hayato just for the occasion!","","","","","","","","","","","","","","","","","","","","",""
"08","5387","","// init NAME_15, $24
很⋯很好⋯⋯
誰知道這個流星
雨的詳細資料?","// init NAME_15, $24
Yeah... Very, very good...
Anyway, can anyone tell me more about this meteor shower?","mr. mo sweat emote","","","","","","","","","","","","","","","","","","","",""
"08","53af","","// init NAME_BALLOT, $00
弗烈茲星系流星
雨，
離上次流星雨事
件120年。
距地球1932
光年。","// init NAME_BALLOT, $00
The meteor shower originates in the Frigo Galaxy.

It's been 120 years since the last meteor shower event took place, about 1932 light years from Earth.","deepl said ""fritz galaxy"", google translate said ""frieze galaxy"", i say ""frigo galaxy"" -WHY
haven't found any other reference and it sounds close enough","","","","","","","","","","","","","","","","","","","",""
"08","53ef","","// init NAME_15, $24
完全正確!!
為了獎勵大家，
今天就提早下課
吧!
巴洛特!
老師待會會到你
家。
和你父親商量，
晚上借天文館看
流星雨的事。
待會見了。","// init NAME_15, $24
Bravo, bravo!

As a reward, I'll dismiss you all early today!

Ballot! I'll visit your house later to ask your father about watching the meteor shower at the observatory tonight. I'll see you later.","","","","","","","","","","","","","","","","","","","","",""
"08","5468","","// init NAME_11, $11
不行~!
絕對不行。","// init NAME_11, $11
No! Certainly not.","","","","","","","","","","","","","","","","","","","","",""
