"bank","address","label","original_string","translated_string","notes"
"0e","4abe","","// init NAME_BALLOT, $00
爸爸一定是到了
某個地方了。
在房子裡找的話
，
一定會有線索的
!","// init NAME_BALLOT, $00
Dad must be somewhere. I'm sure there'll be a lead in the house!","after the meteor shower cutscene."
"0e","4af9","","// init NAME_BALLOT, $00
爸爸一定是到了
某個地方了。
在房子裡找的話
，
一定會有線索的
!","// init NAME_BALLOT, $00
I'll have to search inside first, I'm sure there'll be a lead somewhere.","originally exact same text as before
thanks VF, very cool"
"0e","4b34","","// init NAME_BALLOT, $2d
在抽罹裡~
發現了日記!","// init NAME_BALLOT, $2d
There's a diary in the drawer!",""
"0e","4b4d","","// init NAME_BALLOT, $00
日記的內容這麼
寫道:
~~~
~~~
4月20日
月亮有藍化的跡
像⋯
為了預防那一天
的來臨，
再不快解開圖中
的祕密，
恐怕就⋯⋯","// init NAME_BALLOT, $00
...
April 20th
There are signs of the moon turning blue.
If we don't decipher the diagram soon, I'm afraid we won't be able to stop that event.",""
"0e","4bc0","","// init NAME_BALLOT, $2d
日記裡夾著一張
泛黃的設計圖。
圖裡畫著密密麻
麻的機械構造圖
⋯⋯","// init NAME_BALLOT, $2d
A yellowed design diagram is enclosed in the diary! The diagram contains a dense mechanical con- struction...",""
"0e","4bfb","","// init NAME_BALLOT, $00
爸爸一定想解開
設計圖中的祕密
我如果能解開圖
中的祕密的話，
就可以知道爸爸
的下落了。
可是這圖⋯⋯
再怎麼樣也無法
理解⋯","// init NAME_BALLOT, $00
Dad must have wanted to unearth the secrets of the design schematics. If I can unlock the secrets of the blueprints, I'll probably find Dad.

But this diagram... no matter how hard I try, I can't understand it...",""
"0e","4c6a","","// init NAME_BALLOT, $2b
伊隼人曾經提到
過他的朋友，
是位天才的機械
發明家。
他一定可以知道
圖中的祕密吧!
雖然很不願意，
但還是必需找一
趟伊隼人。","// init NAME_BALLOT, $2b
Hayato once mentioned that his friend is a genius mechanical inventor. He must be able to figure out the secret of the diagram!

I have to find Hayato, even though I don't want to...",""
"0e","4cdd","","// init NAME_17, $09
嗚~~汪嗚!","// init NAME_17, $09
Awoo~ Woof! Ruff!",""
"0e","4cec","","// init NAME_BALLOT, $2d
不⋯不要過來!","// init NAME_BALLOT, $2d
Don't.. Don't come any closer!",""
"0e","4cfd","","// init NAME_17, $09
嗚~嗚~
嗚汪~","// init NAME_17, $09
Ruff! Ruff! Woof!",""
"0e","4d10","","// init NAME_BALLOT, $2d
小白?
是小白沒有錯
!
你是怎麼了?
這是怎麼回事?","// init NAME_BALLOT, $2d
Snowy?
It is you!
What happened?
How did this happen?",""
"0e","4d42","","// init NAME_SNOWY, $09
嗚汪~汪~","// init NAME_SNOWY, $09
Ruff! Ruff!",""
"0e","4d50","","// init NAME_BALLOT, $00
看來發生了大事
情了!
小白!
我們去找伊隼人
吧!","// init NAME_BALLOT, $00
It seems like something big has happened!
Snowy!
Come on, let's go find Hayato!",""
"0e","4d81","","// init NAME_18, $2f
星獸~小白加入
了隊伍。","// init NAME_18, $2f
Snowy joined your party!
",""
