"bank","address","label","original_string","translated_string","notes","notes2","text_kind"
"0e","5ac1","","// init NAME_1D, $1a
媽媽?
荳荳這台光速美
少女初號機，
要不要藏起來?
荳荳的光速美少
女初號機，
價值9456億
喲!","// init NAME_1D, $1a
Mom? Do you want to hide Dot's machine too?
It goes at the speed of light! It's probably worth ¥9456 billion!","The girl talks in weird third person but it'd make things more complicated","","repoint_target"
"0e","5b18","","// init NAME_BLANK, $13
不‧用!","// init NAME_BLANK, $13
There's no need!","","","repoint_target"
"0e","5b22","","// init NAME_1D, $1a
荳‧荳‧要‧藏
‧起‧來‧啦!","// init NAME_1D, $1a
I'll hide it anyway!","same girl from 5ac1, her name is Dottie i guess","","repoint_target"
"0e","5b43","","// init NAME_BLANK, $16
城裡停電了，
我兒子~博特到
發電塔修去了!
去了好久，
都沒有回來!
真是擔心啊⋯⋯","// init NAME_BLANK, $16
The power's gone out, and my son, Burt, went to the power plant to fix it!
He's been gone for quite a while and I'm worried about him...","i still dunno who bert/bot is imma have to look
Burt is that guy referenced in 0e:5a5a","","repoint_target"
"0e","6e99","","// init NAME_1C, $29
哈哈哈~
果然打敗了閃電
隊!
但是發電塔還是
被佔領了!
一定要想辦法解
放發電塔才行。
巴洛特，
就麻煩你到發電
塔，
去察看停電的原
因吧!","// init NAME_1C, $29
Hahaha, so you beat the Volts! Well done!
The power's still out, though..
Ballot, could I ask another favour of you?
Can you go to the power plant and investigate why?","","","repoint_target"
"0e","6f19","","// init NAME_21, $31
喵嗚~嗚。
zZ~zZ~","// init NAME_21, $31
Miao... Zzzz...","","","repoint_target"
"0e","6f32","","// init NAME_BALLOT, $2c
不行!
整個入口都被貓
怪擋住了!
得回去向博士報
告才行!","// init NAME_BALLOT, $2c
Oh no! The entrance's been blocked by this monstrous cat!
I'd better go report back to the professor.","","","repoint_target"
"0e","6f6b","","// init NAME_1C, $29
什麼?貓怪?
該怎麼辦才好⋯","// init NAME_1C, $29
What? A monster cat? What shall we do..?","","","repoint_target"
"0e","6f86","","// init NAME_1C, $29
有了!
使用老鼠來吸引
牠的注意力!
但是沒有電力，
該怎麼製作呢⋯","// init NAME_1C, $29
I've got it! We can use my robot rats to distract him!
But how can we make those while the power is out..?","","","repoint_target"
"0e","6fc3","","// init NAME_1C, $29
真叫人生氣!
在不得已的情況
下，
只好使用發條的
製品了。
雖然那會非~常
的丟臉⋯⋯
你等一下~
我找一下零件⋯","// init NAME_1C, $29
How frustrating!
As a last resort, I'll have to make them spring-powered.
Even though it would be embarrasing for me to make clockwork rats..
Give me a bit, and I'll find the parts I need..","","","repoint_target"
"0e","7026","","// init NAME_1C, $29
槽糕~
我一直認為，
製做發條的機械
製品，
是可恥的行為。
所以把它們全丟
了!
巴洛特，抱歉了
。
得找到發條才行
!","// init NAME_1C, $29
Darn it! I used to think that making clockworks was below me, so I threw all those parts out.
Sorry, Ballot, but I need some springs!","","","repoint_target"
"0e","7090","","// init NAME_BALLOT, $00
我知道了!","// init NAME_BALLOT, $00
I've got it!","","","repoint_target"
"0e","709b","","// init NAME_1C, $29
要做成機械老鼠
，
得找到發條才行
。","// init NAME_1C, $29
To make the robot rats, we need a spring.","","","repoint_target"
"0e","70c0","","// init NAME_BLANK, $16
發條?
雷歐博士要的嗎
?
沒想到他也會要
這種東西⋯
發條放在⋯在⋯
在⋯⋯
在哪裡?
峨~今天的天氣
真是好呀!
只是烏雲多了點
。","// init NAME_BLANK, $16
Springs?
I never thought Dr. Leo would need such a thing...
Where did I put it...?
Ah, today's weather sure is nice, but dark clouds are gathering...","","","repoint_target"
"0e","7136","","// init NAME_BLANK, $16
對了!
就是發條嘛!
我忘了放哪裡了
⋯⋯
就在這些寶貝堆
裡，
自已找吧!","// init NAME_BLANK, $16
Ah, right! The spring!
I forgot where I put it, so feel free to search in these piles of treasure!","","","repoint_target"
"0e","717b","","// init NAME_BLANK, $16
發條?
我忘了放哪裡了
⋯⋯
就在這些寶貝堆
裡，自已找吧!","// init NAME_BLANK, $16
The spring? I forgot where I put it, so feel free to search in these piles of treasure!","","","repoint_target"
"0e","71b4","","// init NAME_BALLOT, $2a
得到了發條!","// init NAME_BALLOT, $2a
Got the Spring!","","","repoint_target"
"0e","71c3","","// init NAME_1C, $29
沒有錯!
這就是我想要的
發條⋯
實在是很丟臉⋯
唉~
蒙著臉做就不會
這麼覺得吧!
等我一下下~","// init NAME_1C, $29
That's right!
This is the spring I wanted...
How embarrassing.. I'll just have to bite the bullet and do it.","","","repoint_target"
"0e","7217","","// init NAME_1C, $29
這就是發條老鼠
。
沒想到蒙著臉，
還是覺得一樣的
丟臉~
喂~巴洛特!
千萬不可以說出
去唷。","// init NAME_1C, $29
Here's the clockwork mouse.
I still feel ashamed of resorting to such simple tech...
Ballot! You'd better not tell anyone I made it!","","","repoint_target"
"0e","726f","","// init NAME_BALLOT, $2a
得到了發條老鼠
!","// init NAME_BALLOT, $2a
Got the Clockwork Rat!","","","repoint_target"
