"bank","address","label","original_string","translated_string","","","","","","","","","","","","","","","","","","","","",""
"0f","4691","","// init NAME_21, $31
喵嗚~嗚。
zZ~zZ~","// init NAME_21, $31
Miao~ Zzzz~","from 0e6f19","","","","","","","","","","","","","","","","","","","",""
"0f","46aa","","// init NAME_BALLOT, $2b
不行!
整個入口都被貓
怪擋住了!
得回去向博士報
告才行!","// init NAME_BALLOT, $2b
Oh no! The entrance has been blocked by this monstrous cat!
I'd better go report back to Dr. Leo.","actually this whole part is from 0e","","","","","","","","","","","","","","","","","","","",""
"0f","46e3","","// init NAME_1C, $29
什麼?貓怪?
該怎麼辦才好⋯","// init NAME_1C, $29
What?
A monster cat?
What shall we do..?",":vf:","","","","","","","","","","","","","","","","","","","",""
"0f","46fe","","// init NAME_1C, $29
有了!
使用老鼠來吸引
牠的注意力!
但是沒有電力，
該怎麼製作呢⋯","// init NAME_1C, $29
I've got it! We can use my robot rats to distract him!
But how can we make those while the power is out..?",":vf:","","","","","","","","","","","","","","","","","","","",""
"0f","473b","","// init NAME_1C, $29
真叫人生氣!
在不得已的情況
下，
只好使用發條的
製品了。
雖然那會非~常
的丟臉⋯⋯
你等一下~
我找一下零件⋯","// init NAME_1C, $29
How frustrating!
As a last resort, I'll have to make them spring- powered.
Even though it would be embarrasing for me to make clockwork rats..
Give me a bit, and I'll find the parts I need..","","","","","","","","","","","","","","","","","","","","",""
"0f","479e","","// init NAME_1C, $29
槽糕~
我一直認為，
製做發條的機械
製品，
是可恥的行為。
所以把它們全丟
了!
巴洛特，抱歉了
。
得找到發條才行
!","// init NAME_1C, $29
Darn it!
I used to think that making clockworks was below me, so I threw all those parts out.
Sorry, Ballot, but I need some springs!","","","","","","","","","","","","","","","","","","","","",""
"0f","4808","","// init NAME_BALLOT, $00
我知道了!","// init NAME_BALLOT, $00
Got it!","","","","","","","","","","","","","","","","","","","","",""
"0f","4813","","// init NAME_1C, $29
要做成機械老鼠
，
得找到發條才行
。","// init NAME_1C, $29
To make the robot rats, we need a spring.","","","","","","","","","","","","","","","","","","","","",""
"0f","4838","","// init NAME_BLANK, $16
發條?
雷歐博士要的嗎
?
沒想到他也會要
這種東西⋯
發條放在⋯在⋯
在⋯⋯
在哪裡?
峨~今天的天氣
真是好呀!
只是烏雲多了點
。","// init NAME_BLANK, $16
Springs? I never thought Dr. Leo would need such a thing...
Where did I put it...?
Ah, today's weather sure is nice, but dark clouds are gathering...","","","","","","","","","","","","","","","","","","","","",""
"0f","48ae","","// init NAME_BLANK, $16
對了!
就是發條嘛!
我忘了放哪裡了
⋯⋯
就在這些寶貝堆
裡，
自已找吧!","// init NAME_BLANK, $16
Ah, right!
The spring!
I forgot where I put it, so feel free to search in these piles of treasure!","","","","","","","","","","","","","","","","","","","","",""
