"bank","address","label","original_string","translated_string","text_kind","notes",""
"12","6ea8","","// init $25, $4f
妮娜⋯謝謝你⋯
人要學著體諒⋯
是嗎?我會儘力
的⋯⋯媽媽⋯
我會找『他』，
把話說清楚的!
","// init $25, $4f
Nina... thank you... people have to learn to understand... right? I'll do my best... mom... I'll find 'him' and talk it out!
","repoint_target","","deepL"
"12","6ef7","","// init $03, $02
哥⋯你永遠是我
的哥哥⋯永遠⋯
","// init $03, $02
Brother... you'll always be my brother... forever...
","repoint_target","","deepL"
"12","6f16","","// init $25, $4f
⋯⋯⋯
","// init $25, $4f
⋯⋯⋯...
","repoint_target","","deepL"
"12","6f1e","","// init $28, $4e
峨⋯我的孫子⋯
","// init $28, $4e
E...my grandson...
","repoint_target","","deepL"
"12","6f2f","","// init $1b, $4c
巴洛特啊，真是
多虧了你，才能
找回董事長的孫
子!加爾企業後
繼有人了!
身為採購部經理
的我，實在是相
當的高興。
","// init $1b, $4c
Thanks to you, Barrett, I was able to find the chairman's grandson! We have a successor to Garr Enterprises! I am very happy to be the manager of the purchasing department.
","repoint_target","","deepL"
"12","6f96","","// init $25, $4f
巴洛特⋯謝謝你
!
","// init $25, $4f
Barrett... thank you!
","repoint_target","","deepL"
"12","6faa","","// init $28, $4e
馬克⋯你還是不
肯叫我嗎?
","// init $28, $4e
Mark... you still won't call me?
","repoint_target","","deepL"
"12","6fc4","","// init $25, $4f
⋯⋯⋯
","// init $25, $4f
⋯⋯⋯...
","repoint_target","","deepL"
"12","6fcc","","// init $28, $4e
也難怪你會如此
這全要怪我⋯⋯
","// init $28, $4e
It's no wonder you're like this... It's all my fault...
","repoint_target","","deepL"
"12","6fe9","","// init $28, $4e
巴洛特，事情我
全聽基多說了!
這個動力晶片，
就送給你了。
我想妮娜不會介
意的。
","// init $28, $4e
Baloth, I've heard everything from Kido! This power chip is for you. I don't think Nina will mind.
","repoint_target","","deepL"
"12","7033","","// init $01, $2a
得到了晶片2!
","// init $01, $2a
Got chip 2!
","repoint_target","","deepL"
"12","7042","","// init $28, $4e
在馬克重傷的時
候，妮娜將這塊
晶片賣給了我⋯
只是為了要醫治
我的孫兒⋯
我真是⋯不配做
人家的⋯爺爺⋯
","// init $28, $4e
When Mark was seriously injured, Nina sold me this chip... just to heal my grandson... I'm so... unworthy to be a... grandfather...
","repoint_target","","deepL"
"12","70a2","","// init $03, $02
董事長⋯⋯
","// init $03, $02
Chairman of the Board...
","repoint_target","","deepL"
"12","70af","","// init $25, $4f
我不是來了嗎?
媽媽曾說過，人
要學著體諒⋯⋯
不是嗎?⋯⋯
爺‧爺!
","// init $25, $4f
I'm here, aren't I? Mother once said that one must learn to understand... didn't she? ⋯⋯...Grandpa!
","repoint_target","","deepL"
"12","70ec","","// init $28, $4e
馬⋯馬⋯馬克?
你肯叫我了?
這真是太好了
你們聽到了嗎?
","// init $28, $4e
Ma...ma...maq? You're calling me now? That's great. Did you hear that?
","repoint_target","","deepL"
"12","7122","","// init $28, $4e
聽到了嗎?還有
~妮娜!你是馬
克的妹妹，那妳
也該改口了!
","// init $28, $4e
Did you hear that? And, Nina! You're Mark's sister, so it's time for you to change your name!
","repoint_target","","deepL"
"12","7159","","// init $03, $02
⋯爺⋯⋯爺爺?
","// init $03, $02
⋯Grandpa... Grandpa?
","repoint_target","","deepL"
