"bank","address","label","original_string","translated_string","notes","notes2","text_kind","","","","","","","","","","","","","","","","","",""
"c","40a7","","往學校","↑School","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40af","","往天文台","→Observatory","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40b8","","貝爾村","Bell Town","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40c0","","天文台","Observatory","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40c7","","往廢鐵場","↑Junkyard","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40d1","","往水晶村","↑Crystal Town","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40db","","科技城廣場","State of Science","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40e6","","發電廠","Power Plant","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40ed","","水晶村","Crystal Town","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40f5","","礦坑
閒人勿進","Crystal Mines
NO ENTRY","","","signpost","","","","","","","","","","","","","","","","","",""
"c","4103","","↑貝爾村","↑Bell Town","","","signpost","","","","","","","","","","","","","","","","","",""
"c","410d","","↑科技城","↑State of Science","","","signpost","","","","","","","","","","","","","","","","","",""
"c","4116","","←多魯市","←Dorington","","","signpost","","","","","","","","","","","","","","","","","",""
"c","4120","","↑水晶村","↑Crystal Town","","","signpost","","","","","","","","","","","","","","","","","",""
"c","412a","","↓科技城","↓State of Science","","","signpost","","","","","","","","","","","","","","","","","",""
"c","4133","","↓發電廠","↓Power Plant","","","signpost","","","","","","","","","","","","","","","","","",""
