"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","notes2","","","","","","","","","","","","","","","","","","",""
"08","4651","","// init NAME_SNOWY, $08
汪汪~汪~","// init NAME_SNOWY, $08
Woof! Woof!","// init NAME_SNOWY, $08
Ouaf! Ouaf!","// init NAME_SNOWY, $08
Guk! Guk!","translated dog's barking","","","","","","","","","","","","","","","","","","","",""
"08","465e","","// init NAME_BALLOT, PIC_BALLOT_0
小白~
乖~乖~
肚子餓了嗎?
我們一起去天文
台，
找爸爸回來吃晚
餐好嗎?","// init NAME_BALLOT, PIC_BALLOT_0
Aww, Snowy, are you hungry?

Let's go to the observatory together and call Dad for dinner, okay?","// init NAME_BALLOT, PIC_BALLOT_0
Oh, tu as faim aussi, Flocon?

Allons à l'observatoire ensemble pour chercher Papa, d'accord?","// init NAME_BALLOT, PIC_BALLOT_0
Kamu lapar, Si Putih?

Yuk, kita ke observatorium dan panggil Ayah untuk makan malam, oke?","machine translation assisted","","","","","","","","","","","","","","","","","","","",""
"08","46a4","","// init NAME_SNOWY, $08
汪~汪汪~","// init NAME_SNOWY, $08
Woof! Woof!","// init NAME_SNOWY, $08
Ouaf! Ouaf!","// init NAME_SNOWY, $08
Guk! Guk!","","","","","","","","","","","","","","","","","","","","",""
"08","46b1","","// init NAME_BLANK, $1b
賽亞?
我剛剛才和他聊
過天而已。
不過他一看到月
亮之後，
就緊張兮兮往天
文台跑去了。","// init NAME_BLANK, $1b
Hmm, your dad? I just had a chat with him.

But as soon as he saw the moon today, he immediately ran towards the observatory.

I wonder what's up with him?","// init NAME_BLANK, $1b
Hm, ton père? Je viens de lui parler.

Mais dès qu'il a vu la lune, il s'est précipité vers l'observatoire.

Je me demande ce qu'il a?","// init NAME_BLANK, $1b
Hmm, bapakmu? Saya baru saja berbicara dengannya.

Tapi setelah melihat bulan hari ini, dia langsung berlari menuju observatorium.

Ada apa dengan dia?","machine translation assisted, original mentions the dad by name","","","","","","","","","","","","","","","","","","","",""
"08","46fe","","// init NAME_BLANK, $13
⋯啊?
要找你爸爸回家
吃晚餐啊。
真是孝順的小孩
。
媽媽病逝後，
要更堅強喲!
啊啊啊!!
又提到這件事~
真是對不起。","// init NAME_BLANK, $13
...Huh?
Is that for your dad?
How nice of you! Your mom would be proud!
Ah, I'm sorry!","// init NAME_BLANK, $13
...Hein?
C'est pour ton papa?
Comme c'est gentil! Ta maman serait fière de toi.
Ah, pardon!","// init NAME_BLANK, $13
...Huh?
Itu untuk ayahmu?

Alangkah baiknya! Ibumu pasti akan bangga!
Oh, maaf!","
孝順 carries connotations of filial piety but i'm not sure if that translates well in a western context

媽媽病逝後，
要更堅強喲! means more along the lines of ""you must stay strong after (your) mum's death (by disease)!"" oddly positive for the subject matter tbh
","","","","","","","","","","","","","","","","","","","",""
"08","4768","","// init NAME_BLANK, $20
是你啊!
哈哈哈~
昨天考試，你又
考輸我了!
嘻嘻~
每‧次‧都‧輸
‧我!","// init NAME_BLANK, $20
Haha! Looks like you lost to me in the exam!

I win again!
I always do!","// init NAME_BLANK, $20
Haha! On dirait que je t'ai battu à l'examen!

Je t'ai encore battu!
Comme d'habitude!","// init NAME_BLANK, $20
Haha! Sepertinya kamu kalah denganku di ujian!

Aku menang lagi!
Aku selalu menang!"," 每‧次‧都‧輸
‧我! carries a sort of mocking tone in that the words are spaced apart","","","","","","","","","","","","","","","","","","","",""
"08","47af","","// init NAME_BLANK, $1d
老師要教人家做
小餅乾。
這次要吃光光峨
。
人家這次不會再
做那種奇怪的餅
乾了啦!","// init NAME_BLANK, $1d
The teacher wants to teach people how to make cookies.

I want to eat all of them. I won't make those weird cookies again this time!","// init NAME_BLANK, $1d
Le professeur apprend à tout le monde à faire des gâteaux.

Je veux tous les manger... Promis, cette fois, je ne ferai pas ces gâteaux bizarres!","// init NAME_BLANK, $1d
Pak Guru ingin mengajari anak-anak cara membuat kue.

Aku ingin memakannya semua. Lain kali aku tak akan membuat kue-kue aneh itu lagi!","machine translation assisted
tn: need more context","","","","","","","","","","","","","","","","","","","",""
"08","47fb","","// init NAME_BLANK, $16
唉呀~
最近的月亮怎麼
看起來，
有點藍藍的呢?
一定是我眼睛又
花了。","// init NAME_BLANK, $16
The moon seems to have a blue tint today...
Must be my imagination.
","// init NAME_BLANK, $16
La lune me paraît un peu bleue ce soir...
Mes yeux doivent encore me jouer des tours.","// init NAME_BLANK, $16
Sepertinya bulan agak kebiru-biruan hari ini...
Mungkin hanya imajinasiku.
","""我眼睛又花"" means ""i must be short-sighted again"" but seems long winded","","","","","","","","","","","","","","","","","","","",""
"08","4837","","// init NAME_BLANK, $19
新聞報導說，
明天晚上會有大
規模的流星雨。
記得我年輕的時
候，
也曾預測過一次
。
但那次的預測錯
誤。
告訴你峨!
婆婆年輕的時候
~
是村子裡有名的
⋯⋯
大‧美‧女‧峨
!","// init NAME_BLANK, $19
The news has reported that there will be a massive meteor shower tomorrow night.

I remember once when I was young, they forecast the same thing. But that time, the prediction was wrong.

Did you know? When I was young, I was famous in the village for my beauty!
","// init NAME_BLANK, $19
Ils disent aux infos qu'il y aura une grande pluie de météorites demain soir.

Je me souviens, quand j'étais jeune, ils avaient prédit la même chose. Mais cette fois, ils s'étaient trompés.

Tu savais? Quand j'étais jeune, j'étais réputée d'être la plus belle fille de toute le village!","// init NAME_BLANK, $19
Ada berita, besok malam nanti akan ada hujan meteor yang besar.

Aku ingat waktu kecil, mereka memperkirakan hal yang sama. Tapi waktu itu, perkiraan itu meleset.

Tahukah kamu? Ketika aku masih muda, aku terkenal di desa karena kecantikanku!","hahahahahahahhahahahaha this is a lesson to self to actually read contextual translations lel","again, spaced out words for emphasis, also idk how grandmother got machine translated as mother in law","","","","","","","","","","","","","","","","","","",""
"08","48d0","","// init NAME_BLANK, $22
啊!?
隼人說突然想打
網球嗎?
沒~有問題!
爸爸馬上去買一
個網球場!","// init NAME_BLANK, $22
What? Hayato said he suddenly wanted to play tennis?
No~ problem!
I'm going to buy a tennis court!","// init NAME_BLANK, $22
Quoi? Hayato dit qu'il veut jouer au tennis?
Au-cun souci!
Je vais tout de suit acheter un terrain de tennis!","// init NAME_BLANK, $22
Apa? Hayato ingin main bola tenis?
Tidak masalah!
Akan saya belikan dia lapangan tenis!","said by the dad, presumably, but it doesn't make as much sense in english","","","","","","","","","","","","","","","","","","","",""
