"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","text_kind","","","","","",""
"0e","4abe","","// init NAME_BALLOT, $00
爸爸一定是到了
某個地方了。
在房子裡找的話
，
一定會有線索的
!","// init NAME_BALLOT, $00
Dad must be somewhere. I'm sure there'll be a lead in the house!","// init NAME_BALLOT, $00
Papa doit bien être quelque part.
Il y a forcément un indice dans la maison!","// init NAME_BALLOT, $00
Ayah pasti masih ada. Aku yakin ada sebuah petunjuk di sini!","after the meteor shower cutscene.","","","","","","",""
"0e","4af9","","// init NAME_BALLOT, $00
爸爸一定是到了
某個地方了。
在房子裡找的話
，
一定會有線索的
!","// init NAME_BALLOT, $00
I'll have to search inside first, I'm sure there'll be a lead somewhere.","// init NAME_BALLOT, $00
Je devrais fouiller la maison d'abord.
Il doit bien y avoir une piste quelque part.","// init NAME_BALLOT, $00
Aku harus mencari di sini dulu, aku yakin ada petunjuk di suatu tempat.","originally exact same text as before
thanks VF, very cool","","","","","","",""
"0e","4b34","","// init NAME_BALLOT, $2d
在抽罹裡~
發現了日記!","// init NAME_BALLOT, $2d
I found a diary in the drawer!","// init NAME_BALLOT, $2d
Il y a un carnet dans le tiroir!","// init NAME_BALLOT, $2d
Aku menemukan buku harian di dalam lemari!","prob first person?","","","","","","",""
"0e","4b4d","","// init NAME_BALLOT, $00
日記的內容這麼
寫道:
~~~
~~~
4月20日
月亮有藍化的跡
像⋯
為了預防那一天
的來臨，
再不快解開圖中
的祕密，
恐怕就⋯⋯","// init NAME_BALLOT, $00
...
April 20th
There are signs of the moon turning blue.
If we don't decipher the diagram soon, I'm afraid we won't be able to stop it.","// init NAME_BALLOT, $00
...
20 avril
La lune montre des signes de bleuissement...
Si je ne déchiffre pas le diagramme rapidemment, je crains qu'on ne puisse pas l'arrêter...","// init NAME_BALLOT, $00
...
20 April
Sudah ada tanda-tanda bulan mulai membiru.
Jika kita tidak segera mengerti diagram ini, saya khawatir kita tak akan bisa menghentikan-nya.","i should try to make quote chars work","","","","","","",""
"0e","4bc0","","// init NAME_BALLOT, $2d
日記裡夾著一張
泛黃的設計圖。
圖裡畫著密密麻
麻的機械構造圖
⋯⋯","// init NAME_BALLOT, $2d
A yellowed design diagram is enclosed in the diary!
The diagram contains a dense mechanical con- struction...","// init NAME_BALLOT, $2d
Il y a un schéma technique jauni dans le carnet!
Il y a une machine compliquée dessinée dessus...","// init NAME_BALLOT, $2d
Sebuah diagram menguning terselip di dalam buku harian!
Diagram ini menggambarkan bangunan mekanik yang rumit...","","","","","","","",""
"0e","4bfb","","// init NAME_BALLOT, $00
爸爸一定想解開
設計圖中的祕密
我如果能解開圖
中的祕密的話，
就可以知道爸爸
的下落了。
可是這圖⋯⋯
再怎麼樣也無法
理解⋯","// init NAME_BALLOT, $00
Dad must have wanted to unearth the secrets of the design schematics. If I can unlock the secrets of the blueprints, I'll probably find Dad.

But this diagram... no matter how hard I try, I can't understand it...","// init NAME_BALLOT, $00
Papa devait vouloir découvrir le secret de ce schéma. Si j'arrive à découvrir ce que c'est, je vais probablement retrouver papa...

Mais ce schéma... J'ai beau essayer, je n'y comprends rien...","// init NAME_BALLOT, $00
Ayah pasti ingin menggali rahasia skematik ini. Jika aku bisa memecahkan rahasia cetak biru itu, aku mungkin bisa menemukan Ayah.

Tapi diagram ini... sekuat apapun aku mencoba, aku tak bisa mengertinya...","","","","","","","",""
"0e","4c6a","","// init NAME_BALLOT, $2b
伊隼人曾經提到
過他的朋友，
是位天才的機械
發明家。
他一定可以知道
圖中的祕密吧!
雖然很不願意，
但還是必需找一
趟伊隼人。","// init NAME_BALLOT, $2b
Hayato once mentioned that his friend is a genius mechanical inventor. He must be able to figure out the secret of the diagram!

I have to find Hayato, even though I don't want to...","// init NAME_BALLOT, $2b
Hayato a dit que son ami est un mécanicien de génie. Il devrait pouvoir comprendre ce que représente ce schéma!

Il faut que j'aille voir Hayato, même si j'en ai vraiment pas envie...","// init NAME_BALLOT, $2b
Hayato pernah mengatakan temannya seorang penemu yang jenius. Dia mungkin akan dapat mencari tahu rahasia diagram ini!

Aku harus mencari Hayato, meski sebenarnya aku tidak mau...","","","","","","","",""
"0e","4cdd","","// init NAME_17, $09
嗚~~汪嗚!","// init NAME_17, $09
Awoo~ Woof! Ruff!","// init NAME_17, $09
Aouuuh! Waf! Ouaf!","// init NAME_17, $09
Auuuu~! Guk! Guk!","","","","","","","",""
"0e","4cec","","// init NAME_BALLOT, $2d
不⋯不要過來!","// init NAME_BALLOT, $2d
Don't.. Don't come any closer!","// init NAME_BALLOT, $2d
Ne... Ne t'approche pas!","// init NAME_BALLOT, $2d
Jangan... jangan dekat-dekat!","","","","","","","",""
"0e","4cfd","","// init NAME_17, $09
嗚~嗚~
嗚汪~","// init NAME_17, $09
Ruff! Ruff! Woof!","// init NAME_17, $09
Ouaf! Aouuh!","// init NAME_17, $09
Guk! Guk! Wuf!","","","","","","","",""
