"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","notes2","text_kind","","","","","","","","","","","","","","","","","",""
"0e","5c24","","// init NAME_1B, $4c
怎麼辦~
怎麼辦~
流星雨打斷了回
多魯市的道路!
身為加爾企業採
購部經理的我，
必需要趕回去開
個重要會議!
雷歐博士~
你要想想辦法啊
!","// init NAME_1B, $4c
What to do? What to do?
The meteor shower wrecked the road back to Dorington!
As the manager of the procurement department of GaleCorp, I cannot be late for my important meeting!
Dr. Leo, you have to do something!","","","
Doru City, is that the city westward of the state of science?","Dorington :>","","","","","","","","","","","","","","","","","","",""
"0e","5c9e","","// init NAME_1C, $29
唉~
都是我的錯~
讓科技城輸了三
千萬，
還賠上了高速賽
車之都的名譽⋯","// init NAME_1C, $29
Alas, thanks to me, Tech City has not only lost 30 million yen, but it's also lost its reputation as the capital of high-speed racing.","","","","","","","","","","","","","","","","","","","","","","",""
"0e","5ce0","","// init NAME_BALLOT, $00
雷歐博士，
你就是伊隼人所
說的，
天才機械發明家
~雷歐博士嗎?
可不可以請您看
看這張設計圖!","// init NAME_BALLOT, $00
Dr. Leo, are you the genius mechanical inventor that Hayato was talking about?
Could you take a look at this blueprint?","","","","","","","","","","","","","","","","","","","","","","",""
"0e","5d33","","// init NAME_1C, $29
設計圖⋯
放著吧~
我代表著科技城
，
和閃電隊比賽迷
你賽車!
居然輸了⋯
我不甘心⋯
我的黃金鳳凰號
竟然⋯
我還有什麼面子
待在這裡⋯⋯","// init NAME_1C, $29
A blueprint? Forget it!
My own Golden Phoenix couldn't beat the Volts in a race...
I'm too ashamed to be called a genius!","","","took a bit of translation liberty","","","","","","","","","","","","","","","","","","","",""
"0e","5dae","","// init NAME_1C, $29
你是指設計圖嗎
?
我不是說過，
就這樣放著嗎?
唉~
我不是機械天才
⋯⋯
而這樣的亮度，
無法看到圖裡畫
的究竟是什麼⋯
唉~
之所以會輸，
也不完全是我的
錯⋯⋯","// init NAME_1C, $29
What is it?
Didn't I tell you to forget about asking me to read the blueprint?
I'm hardly worthy to be called a mechanical genius... and in the darkness, it's impossible to read the diagram anyway.
...If it wasn't for that, I might not have lost...","","","i hope my interpretation of the end where he says ""it wasn't entirely my fault"" is right in that he's referring to the lights going out","Given later NPC dialogue, it seems that he lost because there were no Rainbow Crystals to use as the racing car's core.
The Volts also mention that they cut the power to get the money faster. -- Waddle","","","","","","","","","","","","","","","","","","",""
"0e","5e40","","// init NAME_BLANK, $27
峨~呵呵呵!
峨峨峨~
呵呵呵呵!","// init NAME_BLANK, $27
Ohohohoho!! Ooohohoho!!!","","","evil laughter","","","","","","","","","","","","","","","","","","","",""
"0e","5e5d","","// init NAME_BLANK, $28
怎麼樣?
賴帳的傢伙?","// init NAME_BLANK, $28
What's up, my friend? Got the moolah yet?","","","slang time","","","","","","","","","","","","","","","","","","","",""
"0e","5e73","","// init NAME_1C, $29
他們又來了!
我沒有面子再見
其他村人了!
你幫我去
外面的
『廣場』看看
好嗎?","// init NAME_1C, $29
Here they come again!
I'm too ashamed to see the other citizens!
Can you go to the square outside and see what's happening?","","","""to not have face"" means ""to be ashamed"" in chinese","","","","","","","","","","","","","","","","","","","",""
"0e","5ebb","","// init NAME_BLANK, $28
比賽的承諾~
三千萬!
在下這就來取了
!","// init NAME_BLANK, $28
The promised prize money...
My 30 million yen! I'm coming to get it!","","","","","","","","","","","","","","","","","","","","","","",""
"0e","5ee0","","// init NAME_1D, $1a
爸爸?
他們是誰啊?","// init NAME_1D, $1a
Dad? Who are they?","","","","","","","","","","","","","","","","","","","","","","",""
"0e","5ef5","","// init NAME_BLANK, $27
峨~呵呵呵~
我聽到了!
你在問我們是誰
嗎?","// init NAME_BLANK, $27
Ohoho! I heard that!
Did you ask who we were?","","","","","","","","","","","","","","","","","","","","","","",""
"0e","5f1f","","// init NAME_BLANK, $27
既然你們問起了
~
那我就仁慈的告
訴你們吧!","// init NAME_BLANK, $27
Since you've asked so nicely, we'll tell you, out of the kindness of our hearts!","","","","","","","","","","","","","","","","","","","","","","",""
"0e","5f4b","","// init NAME_BLANK, $28
來自銀河系裡的
正義使者!","// init NAME_BLANK, $28
Messengers of justice, from the Milky Way!","","","
yea, i'm pretty sure these next few lines are literally just team rocket's intro from the pokemon anime","no team rocket intro matches this","","","","","","","","","","","","","","","","","","",""
"0e","5f67","","// init NAME_BLANK, $27
穿梭於黑夜的
浪漫勇士!","// init NAME_BLANK, $27
Dashing heroes, in both night and day!","","","i tried to rhyme","","","","","","","","","","","","","","","","","","","",""
"0e","5f7e","","// init NAME_BLANK, $28
貫徹愛‧正義‧
勇氣的真理!","// init NAME_BLANK, $28
With truth, justice, courage and love!","","","","","","","","","","","","","","","","","","","","","","",""
"0e","5f99","","// init NAME_1E, $27
拉琪!","// init NAME_1E, $27
Laki!","","","","","","","","","","","","","","","","","","","","","","",""
"0e","5fa2","","// init NAME_1F, $28
庫魯!","// init NAME_1F, $28
Kulu!","","","","","","","","","","","","","","","","","","","","","","",""
"0e","5fab","","// init NAME_1E, $27
閃‧電‧隊~
~誕生!!","// init NAME_1E, $27
Witness the birth of the Volts!","","","","","","","","","","","","","","","","","","","","","","",""
"0e","5fc0","","// init NAME_1F, $28
還不打算交出三
千萬嗎?
現在只是停一下
小電作為徽戒!
再不交出來，
在下只好將發電
塔爆破!","// init NAME_1F, $28
Still not handing over the cash?
We've only temporarily shut down the power as a warning!
If you don't hand it over, we'll be forced to blow up the power plant!","","","","","","","","","","","","","","","","","","","","","","",""
"0e","6015","","// init NAME_1E, $27
峨~呵呵呵~
就是這個鈕!
只要輕輕按一下
唷~
發電塔就會~
『磅』唷!","// init NAME_1E, $27
Look at this remote control!
Just one push, and the building will go boom, yo!","","","","","","","","","","","","","","","","","","","","","","",""
"0e","6055","","// init NAME_BLANK, $1b
千萬不要這麼做
!","// init NAME_BLANK, $1b
No! You can't do this!","","","","","","","","","","","","","","","","","","","","","","",""
