"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","notes2","text_kind"
"0e","5ac1","","// init NAME_1D, $1a
媽媽?
荳荳這台光速美
少女初號機，
要不要藏起來?
荳荳的光速美少
女初號機，
價值9456億
喲!","// init NAME_1D, $1a
Mom? Do you want to hide Dot's machine too?
It goes at the speed of light! It's probably worth ¥9456 billion!","// init NAME_1D, $1a
Maman? Tu veux cacher aussi ma voiture?
Elle va à la vitesse de la lumière!
Elle vaut probablement 9456 billions de ¥!","// init NAME_1D, $1a
Mama? Ingin menyembunyikan mesinku juga?
Ia bisa melaju secepat cahaya! Mungkin nilainya ¥9456 miliar!","The girl talks in weird third person but it'd make things more complicated","","repoint_target"
"0e","5b18","","// init NAME_BLANK, $13
不‧用!","// init NAME_BLANK, $13
There's no need!","// init NAME_BLANK, $13
Pas besoin!","// init NAME_BLANK, $13
Tidak perlu!","","","repoint_target"
"0e","5b22","","// init NAME_1D, $1a
荳‧荳‧要‧藏
‧起‧來‧啦!","// init NAME_1D, $1a
I'll hide it anyway!","// init NAME_1D, $1a
Je la cache quand même!","// init NAME_1D, $1a
Aku tetap sembunyikan!","same girl from 5ac1, her name is Dottie i guess","","repoint_target"
"0e","5b43","","// init NAME_BLANK, $16
城裡停電了，
我兒子~博特到
發電塔修去了!
去了好久，
都沒有回來!
真是擔心啊⋯⋯","// init NAME_BLANK, $16
The power's gone out, and my son, Burt, went to the power plant to fix it!
He's been gone for quite a while and I'm worried about him...","// init NAME_BLANK, $16
Le courant a sauté, et mon fils Burt est parti à la centrale pour le rétablir!
Mais ça fait un moment qu'il est parti... Je m'inquiète...","// init NAME_BLANK, $16
Listrik padam, dan anakku, Burt, pergi ke gedung pembangkit listrik untuk menyelesaikannya!
Dia sudah pergi entah berapa lamanya dan aku khawatir...","i still dunno who bert/bot is imma have to look
Burt is that guy referenced in 0e:5a5a","","repoint_target"
"0e","6e99","","// init NAME_1C, $29
哈哈哈~
果然打敗了閃電
隊!
但是發電塔還是
被佔領了!
一定要想辦法解
放發電塔才行。
巴洛特，
就麻煩你到發電
塔，
去察看停電的原
因吧!","// init NAME_1C, $29
Hahaha, so you beat the Volts! Well done!
The power's still out, though..
Ballot, could I ask another favour of you?
Can you go to the power plant and investigate why?","// init NAME_1C, $29
Hahaha, tu as vaincu les Volt! Bien joué!
Mais le courant est toujours coupé...
Ballot, puis-je te demander une autre faveur?
Peux-tu aller à la Centrale et voir ce qui s'y passe?","// init NAME_1C, $29
Hahaha, jadi kamu yang mengalahkan Tim Volt! Kerja yang bagus!
Tapi, listrik masih padam...
Ballot, boleh minta bantuan sekali lagi?
Dapatkah kamu ke gedung pembangkit dan mencaritahu kenapa?","","","repoint_target"
"0e","6f19","","// init NAME_21, $31
喵嗚~嗚。
zZ~zZ~","// init NAME_21, $31
Miao... Zzzz...","// init NAME_21, $31
Miaou... Zzzz...","// init NAME_21, $31
Miao... Zzzz...","","","repoint_target"
"0e","6f32","","// init NAME_BALLOT, $2c
不行!
整個入口都被貓
怪擋住了!
得回去向博士報
告才行!","// init NAME_BALLOT, $2c
Oh no! The entrance's been blocked by this monstrous cat!
I'd better go report back to the professor.","// init NAME_BALLOT, $2c
Oh non! Cet énorme chat bloque l'entrée de la centrale!
Je ferais mieux d'en parler au professeur.","// init NAME_BALLOT, $2c
Oh tidak! Pintu masuknya dihalang oleh kucing besar!
Sebaiknya aku melaporkan ke professor.","","","repoint_target"
"0e","6f6b","","// init NAME_1C, $29
什麼?貓怪?
該怎麼辦才好⋯","// init NAME_1C, $29
What? A monster cat? What shall we do..?","// init NAME_1C, $29
Quoi? Un monstre-chat?
Que pouvons-nous faire...","// init NAME_1C, $29
Apa? Kucing besar? Apa yang harus kita lakukan...?","","","repoint_target"
"0e","6f86","","// init NAME_1C, $29
有了!
使用老鼠來吸引
牠的注意力!
但是沒有電力，
該怎麼製作呢⋯","// init NAME_1C, $29
I've got it! We can use a robot rat to distract him!
But how can we make those while the power is out..?","// init NAME_1C, $29
Je sais! On peut utiliser une souris pour attirer son attention!
Mais comment en fabriquer sans électricité...","// init NAME_1C, $29
Oh ya! Kita bisa pakai tikus robot untuk mengalihkan perhatiannya!
Tapi... bagaimana kita bisa membuatnya jika listriknya masih mati?","","","repoint_target"
"0e","6fc3","","// init NAME_1C, $29
真叫人生氣!
在不得已的情況
下，
只好使用發條的
製品了。
雖然那會非~常
的丟臉⋯⋯
你等一下~
我找一下零件⋯","// init NAME_1C, $29
How frustrating!
As a last resort, I'll have to make it spring-powered.
Even though it would be embarrasing for me to make clockwork rats..
Give me a bit, and I'll find the parts I need..","// init NAME_1C, $29
Rah!
Dans le pire des cas, je peux en faire un à ressort.
Même si c'est un peu humiliant d'en être réduit à faire des souris à ressort...
Donne-moi quelques minutes, le temps de trouver les composants...","// init NAME_1C, $29
Menyebalkan!
Sebagai pilihan terakhir, saya harus membuatnya dengan pér.
Meski amat memalukan saya membuat tikus mainan pér...
Tunggu sebentar, saya carikan bahan yang dibutuhkan...","","","repoint_target"
"0e","7026","","// init NAME_1C, $29
槽糕~
我一直認為，
製做發條的機械
製品，
是可恥的行為。
所以把它們全丟
了!
巴洛特，抱歉了
。
得找到發條才行
!","// init NAME_1C, $29
Darn it! I used to think that making clockworks was below me, so I threw all those parts out.
Sorry, Ballot, but I need some springs!","// init NAME_1C, $29
Bon sang! Je pensais que faire des mécanismes à ressort n'était pas assez bien pour moi, alors j'ai tout jeté...
Désolé, Ballot. Il faut trouver des ressorts!","// init NAME_1C, $29
Sialan! Saya berpikir saya terlalu hebat untuk membuat mainan pér, jadi saya membuang semua bahan-bahan itu.
Maaf, Ballot, tapi saya perlu pér!","","","repoint_target"
"0e","7090","","// init NAME_BALLOT, $00
我知道了!","// init NAME_BALLOT, $00
I've got it!","// init NAME_BALLOT, $00
Compris!","// init NAME_BALLOT, $00
Oke!","","","repoint_target"
"0e","709b","","// init NAME_1C, $29
要做成機械老鼠
，
得找到發條才行
。","// init NAME_1C, $29
To make the robot rat, we need a spring.","// init NAME_1C, $29
Pour faire une souris mécanique, il nous faudra un ressort. ","// init NAME_1C, $29
Untuk membuat tikus mainan, kita perlu pér.","","","repoint_target"
"0e","70c0","","// init NAME_BLANK, $16
發條?
雷歐博士要的嗎
?
沒想到他也會要
這種東西⋯
發條放在⋯在⋯
在⋯⋯
在哪裡?
峨~今天的天氣
真是好呀!
只是烏雲多了點
。","// init NAME_BLANK, $16
Springs?
I never thought Dr. Leo would need such a thing...
Where did I put it...?
Ah, today's weather sure is nice, but dark clouds are gathering...","// init NAME_BLANK, $16
Des ressorts?
Je n'aurais jamais cru que le Dr. Léo aurait besoin d'une chose pareille...
Où est-ce que je l'ai mis...?
Ah, il fait bien beau aujourd'hui! Il risque de pleuvoir un peu, mais ça va...","// init NAME_BLANK, $16
Pér?
Tidak pernah saya membayangkan Dr. Leo butuh barang seperti itu...
Saya taruh dimana ya...?
Ah, cuaca hari ini memang cerah, tapi awan gelap mulai mengepul...","","","repoint_target"
"0e","7136","","// init NAME_BLANK, $16
對了!
就是發條嘛!
我忘了放哪裡了
⋯⋯
就在這些寶貝堆
裡，
自已找吧!","// init NAME_BLANK, $16
Ah, right! The spring!
I forgot where I put it, so feel free to search in these piles of treasure!","// init NAME_BLANK, $16
Ah oui! Le ressort!
J'ai oublié où je l'ai mis, alors n'hésite pas à fouiller mes amas de trésors!","// init NAME_BLANK, $16
Oh, ya! Pér itu!
Saya lupa pér taruh dimana, jadi silahkan kamu cari diantara hartaku ini!","","","repoint_target"
"0e","717b","","// init NAME_BLANK, $16
發條?
我忘了放哪裡了
⋯⋯
就在這些寶貝堆
裡，自已找吧!","// init NAME_BLANK, $16
The spring? I forgot where I put it, so feel free to search in these piles of treasure!","// init NAME_BLANK, $16
Le ressort?
J'ai oublié où je l'ai mis...
N'hésite pas à fouiller mes amas de trésors!","// init NAME_BLANK, $16
Pér? Saya lupa taruh dimana, silahkan dicari saja!","","","repoint_target"
"0e","71b4","","// init NAME_BALLOT, $2a
得到了發條!","// init NAME_BALLOT, $2a
Got the Spring!","// init NAME_BALLOT, $2a
Ressort trouvé!","// init NAME_BALLOT, $2a
Dapat pér!","","","repoint_target"
"0e","71c3","","// init NAME_1C, $29
沒有錯!
這就是我想要的
發條⋯
實在是很丟臉⋯
唉~
蒙著臉做就不會
這麼覺得吧!
等我一下下~","// init NAME_1C, $29
That's right!
This is the spring I wanted...
How em- barrassing.. I'll just have to bite the bullet and do it.","// init NAME_1C, $29
C'est ça!
C'est le ressort qu'il me faut...
C'est vraiment gênant...
Mais il va falloir que je le fasse.","// init NAME_1C, $29
Benar!
Ini pér yang saya minta...
Sunggu memalukan... biar tidak ada listrik tetapi tikus tetap saya buat.","","","repoint_target"
"0e","7217","","// init NAME_1C, $29
這就是發條老鼠
。
沒想到蒙著臉，
還是覺得一樣的
丟臉~
喂~巴洛特!
千萬不可以說出
去唷。","// init NAME_1C, $29
Here's the clockwork rat.
I still feel ashamed of resorting to such simple tech...
Ballot! You'd better not tell anyone I made it!","// init NAME_1C, $29
Voici la souris à ressort.
Je me sens si honteux d'utiliser une technologie si simpliste...
Ballot! Surtout, ne dis à personne que je l'ai fait!","// init NAME_1C, $29
Ini, tikus mainan pér.
Memalukan sekali harus membuat sesuatu dengan teknologi rendahan...
Ballot! Jangan bilang ini saya yang buat!","","","repoint_target"
"0e","726f","","// init NAME_BALLOT, $2a
得到了發條老鼠
!","// init NAME_BALLOT, $2a
Got the Clockwork Rat!","// init NAME_BALLOT, $2a
Obtenu Souris à ressort!","// init NAME_BALLOT, $2a
Dapat Tikus Mainan!","","","repoint_target"
"0e","7283","","// init NAME_1C, $29
有了發條老鼠，
應該就可以引開
發電塔的貓怪了
吧。
哎呀~
想到就覺得丟臉
⋯⋯","// init NAME_1C, $29
With the clockwork rat, you should be able to distract that monster cat. Ah, I feel embarrassed just thinking about it...","// init NAME_1C, $29
Avec la souris à ressort, tu devrais pouvoir distraire le monstre-chat. Ah, je me sens honteux rien que d'y penser...","// init NAME_1C, $29
Dengan tikus mainan itu, kamu dapat mengalihkan perhatian kucing besar itu.
Ah, benar-benar malu setiap kali kepikiran mainan itu...","","","repoint_target"
"0e","72ce","","// init NAME_21, $31
喵嗚~喵~
嗚嗚~","// init NAME_21, $31
Miao~ Miao~","// init NAME_21, $31
Maou... Maou!","// init NAME_21, $31
Miao~ Miao~","","","repoint_target"
"0e","72e2","","// init NAME_BALLOT, $00
乖貓咪~
快點走開唷~","// init NAME_BALLOT, $00
Good kitty! Just hurry up, and leave..","// init NAME_BALLOT, $00
Gentil petit chat!
Allez, ouste...","// init NAME_BALLOT, $00
Mpuss... keluar mpuss...","","","repoint_target"
"0e","72fa","","// init NAME_BALLOT, $2d
啊!
發條的動力用完
了⋯","// init NAME_BALLOT, $2d
Ah! The spring's unwound!","// init NAME_BALLOT, $2d
Ah! Le ressort est à plat!","// init NAME_BALLOT, $2d
Ah! Pérnya terurai!","","","repoint_target"
"0e","7316","","// init NAME_21, $31
嗚~喵吼喵吼吼
!
(可惡!)
(上當了)","// init NAME_21, $31
Miao~ Miao!!!
(Damn it! I've been tricked!)","// init NAME_21, $31
Maou... Maou!!!
(Bon sang! Je me suis fait avoir!)","// init NAME_21, $31
Miao~ Miao!!!
(Sialan, ketipu!!)","boss battle?!","","repoint_target"
"0e","733f","","// init NAME_23, $17
嗚峨嗚~嗚~","// init NAME_23, $17
Waaah...","// init NAME_23, $17
Waaah...","// init NAME_23, $17
Waaah...","","","repoint_target"
"0e","734f","","// init NAME_BALLOT, $00
大权?怎麼了?","// init NAME_BALLOT, $00
Eh? What's happened to you?","// init NAME_BALLOT, $00
Que... Qu'est-ce qui vous est arrivé?","// init NAME_BALLOT, $00
Eh? Ada apa denganmu?","","","repoint_target"
