"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","text_kind","notes","","","","","","","","","","","","","","","","","","",""
"0f","48f3","unkText_00f_48f3","// init $00, $16
發條?
我忘了放哪裡了
⋯⋯
就在這些寶貝堆
裡，自已找吧!
","// init NAME_BLANK, $16
The spring? I forgot where I put it, so feel free to search in these piles of treasure!","// init NAME_BLANK, $16
Le ressort?
J'ai oublié où je l'ai mis...
N'hésite pas à fouiller mes amas de trésors!","","","duped from bank0e","","","","","","","","","","","","","","","","","","",""
"0f","492c","","// init $01, $2a
得到了發條!
","// init NAME_BALLOT, $2a
Got the Spring!","// init NAME_BALLOT, $2a
Ressort trouvé!","","","duped from bank0e","","","","","","","","","","","","","","","","","","",""
"0f","493b","","// init $1c, $29
沒有錯!
這就是我想要的
發條⋯
實在是很丟臉⋯
唉~
蒙著臉做就不會
這麼覺得吧!
等我一下下~
","// init NAME_1C, $29
It's not wrong! This is what I want to do with my hair... it's really embarrassing... ugh... if you do it with your face covered, you won't feel that way! I'll be back in a minute.
","","","","deepl","What NPC says that?","","","","","","","","","","","","","","","","","",""
"0f","498f","","// init $1c, $29
這就是發條老鼠
。
","// init NAME_1C, $29
Here's the clockwork rat.
I still feel ashamed of resorting to such simple tech...
Ballot! You'd better not tell anyone I made it!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","49e7","","// init $01, $2a
得到了發條老鼠
!
","// init NAME_BALLOT, $2a
Got the Clockwork Rat!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","49fb","","// init $1c, $29
有了發條老鼠，
應該就可以引開
發電塔的貓怪了
吧。
哎呀~
想到就覺得丟臉
⋯⋯
","// init NAME_1C, $29
With the clockwork rat, you should be able to distract that monster cat. Ah, I feel embarrassed just thinking about it...","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4a46","","// init $21, $31
喵嗚~喵~
嗚嗚~
","// init NAME_21, $31
Miao~ Miao~","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4a5a","","// init $01, $00
乖貓咪~
快點走開唷~
","// init NAME_BALLOT, $00
Good kitty! Just hurry up, and leave..","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4a72","","// init $01, $2d
啊!
發條的動力用完
了⋯
","// init NAME_BALLOT, $2d
Ah! The spring's unwound!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4a8e","","// init $21, $31
嗚~喵吼喵吼吼
!
(可惡!)
(上當了)
","// init NAME_21, $31
Miao~ Miao!!!
(Damn it! I've been tricked!)","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4ab7","","// init $23, $17
嗚峨嗚~嗚~
","// init NAME_23, $17
Waaah...","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4ac7","","// init $01, $00
大权?怎麼了?
","// init NAME_BALLOT, $00
Eh? What's happened to you?","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4ad7","","// init $23, $17
真是感謝。
科技城停電後，
我就趕來詢視情
況。
沒想到被閃電隊
給綁了起來!
真是感謝你!
","// init NAME_23, $17
Oh, thank you! After the outage in Tech City, I rushed over to investigate the cause.
I didn't expect that I would be tied up by Team Volt!
Thank you for rescuing me!","","","","dupe","","","","","","","","","","","","","","","","","","",""
