"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","notes2","text_kind","","","","","","","","","","","","","","","","","",""
"0c","4216","","神木村","","Village de Sacrêtre","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","421e","","←奇蹟之泉","←Spring of Miracles","←Source Miraculeuse","←Spring of Miracles","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4229","","↓雷達站","↓Radar Station","↓Station Radar","↓Stasiun Radar","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4233","","→神木村","","→Sacrêtre","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","423d","","↑神木村
↓雷達站","","↑Sacrêtre
↓Station Radar","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4250","","雷達站","Radar Station","Station Radar","Stasiun Radar","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4258","","人魚村","Mermaid Village","Village des Sirènes","Desa Duyung","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4260","","海巫之殿","Temple of the Sea Witch","Temple de la Sorcière des Mers","Kuil Sihir Laut","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","426a","","生之谷","Valley of Life","Vallée de la Vie","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4272","","↑生之谷
 死之谷","↑ Valley of Life
 Valley of the Dead","↑ Vallée de la Vie
Vallée de la Mort","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4283","","↓神木村
→地熱城","","↓Sacrêtre
→Géotherma","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
